Name of Player,Position,Team,Games Played,At Bats,Runs,Hits,Doubles,Triples,HomeRuns,RBI,Walks,Strike Outs,Stolen Bases,Caught Stealing,Average,On Base Percentage,Slugging,On Base plus Slugging
Andrew Knizner,C,STL,8,16,1,4,1,0,0,4,0,5,0,0,0.25,0.235,0.313,0.548
Jared Oliva,LF,PIT,6,16,0,3,0,0,0,0,0,6,1,0,0.188,0.188,0.188,0.375
Josh Phegley,X,CHC,11,16,4,1,0,0,1,2,1,3,0,0,0.063,0.167,0.25,0.417
Brian Dozier,2B,NYM,7,15,1,2,0,0,0,0,1,5,0,0,0.133,0.188,0.133,0.321
Travis Jankowski,CF,CIN,16,15,3,1,0,0,0,0,2,7,2,1,0.067,0.176,0.067,0.243
Luis Alexander Basabe,RF,SF,9,14,5,2,0,0,0,1,4,5,2,0,0.143,0.333,0.143,0.476
Wilmer Difo,2B,WSH,12,14,1,1,0,0,0,1,3,4,0,0,0.071,0.222,0.071,0.294
Mickey Moniak,LF,PHI,8,14,3,3,0,0,0,0,4,6,0,0,0.214,0.389,0.214,0.603
Sean Rodriguez,2B,MIA,4,13,0,2,0,0,0,0,0,6,0,0,0.154,0.154,0.154,0.308
Anthony Alford,CF,PIT,5,12,2,3,0,1,1,4,1,1,0,0,0.25,0.308,0.667,0.974
Jaylin Davis,RF,SF,4,12,2,2,0,0,1,1,0,6,0,0,0.167,0.167,0.417,0.583
Jorge Ona,DH,SD,5,12,3,3,1,0,1,2,2,7,0,0,0.25,0.4,0.583,0.983
Abraham Almonte,DH,SD,7,11,0,1,0,0,0,0,2,4,1,1,0.091,0.231,0.091,0.322
Ryan Lavarnway,C,MIA,5,11,0,4,0,0,0,0,0,2,0,0,0.364,0.364,0.364,0.727
Luis Torrens,C,SD,7,11,0,3,1,0,0,0,1,2,0,0,0.273,0.333,0.364,0.697
William Contreras,C,ATL,4,10,0,4,1,0,0,1,0,4,0,0,0.4,0.4,0.5,0.9
Joe McCarthy,LF,SF,4,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0
Harold Ramirez,RF,MIA,3,10,2,2,0,0,0,1,1,2,0,1,0.2,0.273,0.2,0.473
Jason Martin,CF,PIT,7,9,2,0,0,0,0,0,2,4,0,0,0,0.182,0,0.182
Ali Sanchez,C,NYM,5,9,0,1,0,0,0,0,1,3,0,0,0.111,0.2,0.111,0.311
Ryan Cordell,CF,NYM,5,8,0,1,0,0,0,0,0,3,1,0,0.125,0.125,0.125,0.25
Rafael Marchan,C,PHI,3,8,3,4,0,0,1,3,1,2,0,0,0.5,0.556,0.875,1.431
Keibert Ruiz,C,LAD,2,8,1,2,0,0,1,1,0,3,0,0,0.25,0.25,0.625,0.875
Charlie Culberson,X,ATL,9,7,2,1,1,0,0,1,0,4,0,0,0.143,0.143,0.286,0.429
Ryon Healy,DH,MIL,4,7,0,1,0,0,0,0,0,2,0,0,0.143,0.143,0.143,0.286
Alex Jackson,C,ATL,5,7,0,2,1,0,0,0,0,4,0,0,0.286,0.286,0.429,0.714
Zach McKinstry,X,LAD,4,7,1,2,1,0,0,0,0,3,0,0,0.286,0.286,0.429,0.714
Ronald Torreyes,SS,PHI,4,7,1,1,1,0,0,0,0,0,0,0,0.143,0.143,0.286,0.429
Hernan Perez,X,CHC,3,6,0,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.333
Brian Navarreto,C,MIA,2,5,0,2,0,0,0,0,0,1,0,0,0.4,0.4,0.4,0.8
Joey Rickard,RF,SF,4,5,1,0,0,0,0,0,1,1,0,0,0,0.167,0,0.167
Justin Williams,RF,STL,3,5,0,1,0,0,0,0,1,2,0,0,0.2,0.333,0.2,0.533
Will Craig,1B,PIT,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Austin Dean,LF,STL,3,4,1,1,1,0,0,0,3,2,0,0,0.25,0.571,0.5,1.071
John Nogowski,1B,STL,1,4,0,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
Cristian Pache,LF,ATL,2,4,0,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25,0.5
Rene Rivera,C,NYM,2,4,0,1,0,0,0,0,0,3,0,0,0.25,0.25,0.25,0.5
Emilio Bonifacio,X,WSH,3,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0
Rob Brantly,C,SF,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luis Campusano,DH,SD,1,3,2,1,0,0,1,1,0,2,0,0,0.333,0.5,1.333,1.833
Eduardo Nunez,X,NYM,2,2,0,1,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1
Andrew Susac,C,PIT,1,2,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0.5
Patrick Wisdom,1B,CHC,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin Adams,P,SD,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Greg Allen,LF,SD,1,1,1,0,0,0,0,0,2,1,1,0,0,0.75,0,0.75
Tim Hill,P,SD,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alec Mills,P,CHC,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Scott Schebler,RF,ATL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Burdi,P,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genesis Cabrera,P,STL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AustinDavis,P,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seth Elledge,P,STL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Gonsolin,P,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrance Gore,DH,LAD,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Hader,P,MIL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Hendricks,P,CHC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raisel Iglesias,P,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Jeffress,P,CHC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Kelley,P,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Kimbrel,P,CHC,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Kolarek,P,LAD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Lagares,CF,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Lorenzen,P,CIN,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
Mark Melancon,P,ATL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
